79;-90
45;33
-71;-54
75;72
46;-71
97;-14
-63;61
46;34
-73;73
33;-97
-35;72
-64;7
-94;-49
-70;8
-35;47
-61;-74
15;18
-20;61
-17;-19
-15;34
49;-99
-54;-62
-41;64
-36;-6
-26;-37
-64;27
-95;-3
92;-46
-1;13
52;-84
-56;-44
8;27
-55;34
-21;45
-20;22
87;26
-34;-64
39;26
97;-55
93;68
70;22
70;1
4;37
-98;-2
48;-24
88;-86
3;55
32;36
29;-32
-78;-95
91;-42
25;-35
-56;-35
67;-80
47;91
-99;90
83;-19
5;7
100;10
-82;81
-56;-24
98;2
-22;36
-53;72
84;75
6;74
-23;88
34;24
-36;20
-95;50
13;-77
-78;41
29;-86
72;18
-10;-64
31;39
-7;13
-71;-83
53;-72
57;-60
-31;71
50;85
-10;-4
-83;9
-64;-4
10;-100
34;-92
64;28
98;96
-97;-45
53;52
-70;-71
92;69
-3;19
-64;-31
18;-61
57;-50
-16;81
-94;74
-90;-81
51;92
86;26
-46;-90
-43;19
16;-98
-75;73
-62;4
39;-35
54;-75
-49;-93
-41;-97
-18;-8
-92;-74
74;-58
-71;77
24;-18
-95;-89
76;23
-25;-73
-37;-87
-36;-47
23;-63
55;-45
-43;17
-61;-43
-49;-74
97;-93
98;-82
13;-64
-65;-13
-57;48
89;-27
79;3
45;20
-62;0
0;98
53;-97
60;-46
0;-38
-18;-18
-43;-9
-4;-43
-58;-100
-74;75
-76;-65
-78;-31
22;-83
83;60
-90;-3
79;27
87;52
7;-27
-91;-60
12;-48
11;17
39;-20
57;43
32;89
-25;53
-59;-50
-87;23
70;-45
-28;-20
8;-41
49;-82
-69;6
-52;59
75;50
-65;45
-6;-1
-98;6
-42;-28
-35;-82
-60;11
91;1
-98;-11
12;-23
64;45
-13;43
46;15
41;-54
-67;-28
90;78
79;-9
-94;-57
86;32
-96;-15
66;24
16;-67
89;49
-2;-8
-57;42
-34;37
61;35
-34;-68
52;6
74;-51
-15;9
-36;-27
-82;-85
